USAF	WBAN	ICAO	STATION
720628	215	KRCE	CLARENCE E PAGE MUNICIPAL AIRPORT
720629	216	KIKW	JACK BARSTOW AIRPORT
720632	218	KDYB	SUMMERVILLE AIRPORT
720633	219	KHVS	HARTSVILLE REGIONAL AIRPORT
720634	220	KFDW	FAIRFIELD COUNTY AIRPORT
720635	221	KCMR	H A CLARK MEMORIAL FIELD AIRPORT
720636	222	KGLY	CLINTON MEMORIAL AIRPORT
720637	99999	KAXH	HOUSTON SOUTHWEST AIRPORT
720638	224	KBDN	BEND MUNICIPAL AIRPORT
720638	99999	KBDN	BEND MUNI AIRPORT
720639	225	KDZB	HORSESHOE BAY RESORT AIRPORT
720639	99999	KDZB	HORSESHOE BAY AIRPARK
720643	54940	KFXY	FOREST CITY MUNICIPAL AIRPORT
720644	226	KBXK	BUCKEYE MUNICIPAL AIRPORT
720645	227	KPVF	PLACERVILLE AIRPORT
720646	228	KHAF	HALF MOON BAY AIRPORT
720646	99999	KHAF	HALF MOON BAY AIRPORT
720647	229	KLZZ	LAMPASAS AIRPORT
720647	99999	KLZZ	LAMPASAS AIRPORT
720651	232	KMRT	UNION COUNTY AIRPORT
720651	99999	KMRT	UNION COUNTY AIRPORT
720655	235	KCGC	CRYSTAL RIVER AIRPORT
720659	239	KOZA	OZONA MUNICIPAL AIRPORT
720671	248	KJES	JESUP WAYNE COUNTY AIRPORT
720672	485	KXFL	FLAGLER COUNTY AIRPORT
720674	249	KCTJ	WEST GEORGIA REGIONAL AIRPORT O V GRAY FIELD
720699	3724	KDMW	CARROLL CO RGNL/JJACK B POAGE FIELD AIRPORT
720701	54942	KI75	OSCEOLA MUNICIPAL AIRPORT
720712	250	KTMA	HENRY TIFT MYERS AIRPORT
720712	99999	KTMA	HENRY TIFT MYERS AIRPORT
720713	251	KVES	DARKE COUNTY AIRPORT
720713	99999	KVES	DARKE COUNTY AIRPORT
720714	252	KPUJ	PAULDING NORTHWEST ATLANTA AIRPORT
720714	99999	KPUJ	PAULDING COUNTY AIRPORT
720734	264	KMAN	NAMPA MUNICIPAL AIRPORT
720736	265	KRCR	FULTON COUNTY AIRPORT
720738	267	KTVI	THOMASVILLE REGIONAL AIRPORT
720739	268	KMNE	MINDEN AIRPORT
720739	99999	KMNE	MINDEN-WEBSTER AIRPORT
720741	269	KBVU	BOULDER MUNICIPAL AIRPORT
720742	270	KFTN	FAITH RANCH AIRPORT
720742	99999	KFTN	FAITH RANCH AIRPORT
720744	271	KLQK	PICKENS COUNTY AIRPORT
720744	99999	KLQK	PICKENS CO AIRPORT
720769	275	KSTF	GEORGE M BRYAN AIRPORT
720771	276	KCOM	COLEMAN MUNICIPAL AIRPORT
720779	461	KLXY	MEXIA LIMESTONE COUNTY AIRPORT
720787	278	KJVW	JOHN BELL WILLIAMS AIRPORT
720787	99999	KJVW	JOHN BELL WILLIAMS AIRPORT
720839	279	KRTS	RENO STEAD AIRPORT
720839	99999	KRTS	RENO / STEAD AIRPORT
720852	280	KFLY	MEADOW LAKE AIRPORT
720852	99999	KFLY	MEADOW LAKE AIRPORT
720853	281	K06D	ROLLA MUNICIPAL AIRPORT
720854	282	K20U	BEACH AIRPORT
720855	283	K2C8	CAVALIER MUNICIPAL AIRPORT
720856	284	K4A6	SCOTTSBORO MUNICIPAL AIRPORT WORD FIELD
720858	285	K9D7	CANDO MUNICIPAL AIRPORT
720859	286	KBCK	BLACK RIVER FALLS AREA AIRPORT
720861	287	KD50	CROSBY MUNICIPAL AIRPORT
720863	289	KD60	TIOGA MUNICIPAL AIRPORT
720864	290	KETC	TARBORO EDGECOMBE AIRPORT
720866	292	KHZE	MERCER COUNTY REGIONAL AIRPORT
720867	293	KRUG	RUGBY MUNICIPAL AIRPORT
720868	294	KS25	WATFORD CITY MUNICIPAL AIRPORT
720869	295	KVER	JESSE VIERTEL MEMORIAL AIRPORT
720871	296	KY19	MANDAN MUNICIPAL AIRPORT
720887	297	KD25	MANITOWISH WATERS AIRPORT
720902	298	KD95	DUPONT LAPEER AIRPORT
720904	299	KDED	DELAND MUNICIPAL AIRPORT SIDNEY H TAYLOR FIELD
720911	301	KBAC	BARNES COUNTY MUNICIPAL AIRPORT
720923	310	K65S	BOUNDARY COUNTY AIRPORT
720924	99999	KCRX	ROSCOE TURNER AIRPORT
